"날짜","출발지","도착지","일별이동횟수","유형","타입","수량"
"20180522","5186306","4100509",1,"N11","직송",224
"20180523","5138404","4024336",1,"N11","직송",192
"20180611","4082771","4301100",1,"N11","직송",192
"20180601","4082771","4054761",1,"N11","직송",238
"20180615","5254883","4175531",1,"N11","직송",264
"20180615","5285162","4100509",1,"N11","직송",216
"20171102","5108862","4088733",1,"N11","직송",50
"20171102","5138404","4024336",1,"N11","직송",192
"20171107","4024790","4082399",1,"N11","직송",256
"20171107","4024790","4264642",1,"N11","직송",256
"20171229","4142683","4212778",1,"N11","직송",192
"20171122","5186306","4159786",1,"N11","직송",92
"20171122","5254883","4035424",1,"N11","직송",308
"20180130","4024790","4056322",1,"N11","직송",288
"20180131","4024790","4010573",1,"N11","직송",256
"20180131","4032410","4053097",1,"N11","직송",144
"20180126","5254883","4035424",1,"N11","직송",552
"20180219","4082771","4223141",1,"N11","직송",150
"20180220","4013365","4045249",1,"P13","직송",224
"20180220","4024790","4081167",1,"N11","직송",288
"20180220","4024790","4248031",1,"N11","직송",160
"20180328","4024790","4002754",1,"N11","직송",288
"20180416","5016527","4055335",1,"N11","직송",240
"20180416","5038947","4214895",1,"N11","직송",100
"20180512","4025527","4265797",1,"N11","직송",159
"20180528","5285162","4100509",1,"N11","직송",240
"20180529","5254883","4272827",1,"N11","직송",176
"20180530","4127858","4280979",1,"N11","직송",256
"20180605","5285162","4100509",1,"N11","직송",220
"20180608","5278522","4151470",1,"N11","직송",120
"20180609","4024790","4024336",1,"N11","직송",288
"20180625","5254883","4175531",1,"N11","직송",264
"20180625","5254883","4286689",1,"N11","직송",264
"20180618","5060079","4173510",1,"N11","직송",20
"20180626","5285162","4100509",1,"N12","직송",40
"20180619","4082771","4205182",1,"N11","직송",288
"20180619","4256577","4220026",1,"N11","직송",160
"20170927","5270757","4012534",1,"N11","직송",264
"20170928","5254883","4273354",1,"N11","직송",265
"20170928","5282686","4172159",1,"N11","직송",34
"20170928","4082771","4156120",1,"N11","직송",192
"20170929","4024790","4155500",1,"N11","직송",256
"20171017","5098491","4041880",1,"N11","직송",26
"20171019","4002696","4010559",1,"N11","직송",256
"20171019","4042492","4295463",1,"N11","직송",288
"20171019","4082771","4149632",1,"N11","직송",200
"20171019","4082771","4178822",1,"N11","직송",360
"20171023","4013119","4097091",1,"N11","직송",256
"20171023","4013119","4159912",1,"N11","직송",240
"20171023","4024790","4023806",1,"N11","직송",544
"20171023","4024790","4092064",1,"N11","직송",192
"20171110","4042492","4007755",1,"N11","직송",256
"20171114","4082771","4039605",1,"N11","직송",288
"20171115","5168823","4285706",1,"N11","직송",50
"20171201","5254883","4175509",1,"N11","직송",252
